taq,cycles,sample_name,mean_error,sd_error,chimera_prevalence
PHU,20x,DNA3,0.001865612,0.018816276913545635,0.01
PHU,20x,DNA4,0.002948616,0.02326945370910939,0.012
PHU,25x,DNA1,6.87746e-4,0.010864038219296943,0.002
PHU,25x,DNA2,4.26878e-4,0.009545282260991552,0.002
PHU,25x,DNA3,2.3716e-5,5.303058815438501e-4,0.002
PHU,25x,DNA4,0,0,0
PHU,30x,DNA1,5.0440314e-4,0.008756323334883083,0.026
PHU,30x,DNA2,0.0014703545999999999,0.015882199092710044,0.016
PHU,30x,DNA3,4.0316200000000004e-4,0.009014976379447702,0.016
PHU,30x,DNA4,2.3009628e-4,0.004797376520694658,0.012
PHU,35x,DNA1,3.7154142000000003e-4,0.007786585261032467,0.028
PHU,35x,DNA2,4.743074e-5,9.009750183886194e-4,0.026
PHU,35x,DNA3,1.0276616e-4,0.0012343013397513097,0.022
PHU,35x,DNA4,5.5335680000000005e-5,7.274386034447863e-4,0.024
PHU,35x,NA,0.0588860234,0.08797137091029619,0.284
PL,15x,DNA2,0.0064664019999999996,0.03564552981106353,0.014
PL,15x,DNA3,0.004332014,0.03066621404558416,0.01
PL,15x,DNA4,0.004480188,0.028955391103429446,0.014
PL,20x,DNA1,7.906e-6,1.7678353430113338e-4,0
PL,20x,DNA2,0,0,0
PL,20x,DNA3,4.90118e-4,0.01095937164996242,0
PL,20x,DNA4,0,0,0.002
PL,25x,DNA1,0,0,0.006
PL,25x,DNA2,4.7338e-5,7.477306239066686e-4,0.006
PL,25x,DNA3,0,0,0.004
PL,25x,DNA4,3.2411e-4,0.007247319921874568,0.006
PL,30x,DNA1,3.4773264e-4,0.0026721024455802554,0.052
PL,30x,DNA10,4.2687752e-4,0.002753516337157533,0.056
PL,30x,DNA2,7.0490682e-4,0.00803438729472196,0.048
PL,30x,DNA3,6.0860354e-4,0.0073533528635051715,0.044
PL,30x,DNA4,4.031614e-4,0.0026822650849724315,0.05
PL,30x,DNA5,2.6877412e-4,0.0018531396855021459,0.038
PL,30x,DNA6,0.00145445132,0.015691226779088147,0.046
PL,30x,DNA7,7.193671600000001e-4,0.009386960398549672,0.042
PL,30x,DNA8,9.1699396e-4,0.011383636051838786,0.042
PL,30x,DNA9,1.8972326e-4,0.0013802322943818122,0.046
PL,30x,NA,0.04104907742,0.07690103267412714,0.206
PL,35x,DNA1,0.001794373,0.013646159060084036,0.078
PL,35x,DNA2,0.00159683702,0.010572722963885351,0.086
PL,35x,DNA3,0.0013517800599999999,0.0077743919792551755,0.08
PL,35x,DNA4,0.00121729772,0.005056016356194688,0.098
PL,35x,NA,0.097675994,0.08188056820027302,0.174
Q5,20x,DNA1,0.001083004,0.013974401138307597,0.006
Q5,20x,DNA2,0.001581876,0.01631867638451443,0.004
Q5,20x,DNA3,0.0022292460000000003,0.01602753066720074,0.004
Q5,20x,DNA4,0.0014791700000000001,0.014746388962860976,0.008
Q5,25x,DNA1,0.0011225319999999999,0.01444613822543009,0.008
Q5,25x,DNA2,5.13834e-4,0.010971132914393781,0.002
Q5,25x,DNA3,3.1528e-5,5.566665073604067e-4,0.004
Q5,25x,DNA4,4.1897200000000004e-4,0.008176483290340073,0.002
Q5,30x,DNA1,7.906e-6,1.7678353430113338e-4,0.022
Q5,30x,DNA10,0.00105138314,0.013832718442053528,0.016
Q5,30x,DNA2,7.19366e-4,0.010890771449331179,0.018
Q5,30x,DNA3,6.4822e-4,0.010315144789660655,0.012
Q5,30x,DNA4,8.063546e-4,0.011334183436858587,0.018
Q5,30x,DNA5,3.408632e-4,0.00507024040968372,0.02
Q5,30x,DNA6,3.5576224000000004e-4,0.006932291277840729,0.02
Q5,30x,DNA7,0.001471232,0.014937595231253308,0.014
Q5,30x,DNA8,0.00135178054,0.014647200694529953,0.018
Q5,30x,DNA9,0.0011304359399999999,0.013919011826792694,0.02
Q5,35x,DNA1,1.264828e-4,0.0012696503144828076,0.02
Q5,35x,DNA2,5.532655400000001e-4,0.008284421202438776,0.026
Q5,35x,DNA3,6.0863524e-4,0.007674269369467117,0.024
Q5,35x,DNA4,0.00172969888,0.017496944496496893,0.04
